Process Count, Task 0 Nice Value, Parent waiting(us), Total CPU Time, Task 0 CPU time, Task 0 CPU Percentage
2, 5, 5, 9988737, 4985066, 0.499069%
2, 5, 5, 9988016, 4984192, 0.499017%
